#N,Name,color,parent,start,stop,icon,description
N,AMD Radeon HD 5670 (RV830),#000473,AMD,2010,2010,,
N,AMD Radeon HD 6570 / 7570 (RV930),#000474,AMD,2010,2010,,
N,NVIDIA GeForce GT 440 DDR5 (GF108),#000475,NVIDIA,2010,2010,,
N,AMD Radeon HD 5570 DDR5 (RV830),#000476,AMD,2010,2010,,
N,AMD Radeon HD 5670 DDR3 (RV830),#000477,AMD,2010,2010,,
N,AMD Radeon HD 6670 DDR3 (RV930),#000478,AMD,2010,2010,,
N,NVIDIA GeForce GT 630 D5 (GF108),#000479,NVIDIA,2010,2010,,
N,NVIDIA GeForce GT 440 DDR3 / GT 630 D (GF108),#000480,NVIDIA,2010,2010,,
N,AMD Radeon HD 5570 DDR3 (RV830),#000481,AMD,2010,2010,,
N,AMD Radeon HD 5550 DDR5 (RV830),#000482,AMD,2010,2010,,
N,NVIDIA GeForce GT 430 (GF108),#000483,NVIDIA,2010,2010,,
N,AMD Radeon HD 5550 DDR3 (RV830),#000484,AMD,2010,2010,,
N,AMD Radeon HD 6450 / 7470 (RV910),#000485,AMD,2010,2010,,
N,AMD Radeon HD 6450 / 7450 DDR3 (RV910),#000486,AMD,2010,2010,,
N,AMD Radeon HD 5450 / 7350 DDR3 (RV810),#000487,AMD,2010,2010,,
N,AMD Radeon HD 5450 1GB (RV810),#000488,AMD,2010,2010,,
N,AMD Radeon HD 5450 / 7350 DDR2 (RV810),#000489,AMD,2010,2010,,
N,NVIDIA GeForce 210 DDR3 (GT218),#000490,NVIDIA,2010,2010,,
N,NVIDIA GeForce GTX 590 (GF110 x2),#000491,NVIDIA,2011,2011,,
N,AMD Radeon HD 6990 (R970 x2),#000492,AMD,2011,2011,,
N,NVIDIA GeForce GTX 580 (GF110),#000493,NVIDIA,2011,2011,,
N,NVIDIA GeForce GTX 570 (GF110),#000494,NVIDIA,2011,2011,,
N,AMD Radeon HD 6970 (R970),#000495,AMD,2011,2011,,
N,NVIDIA GeForce GTX 560 Ti 448 cores (GF110),#000496,NVIDIA,2011,2011,,
N,AMD Radeon HD 6950 (R970),#000497,AMD,2011,2011,,
N,NVIDIA GeForce GTX 560 Ti (GF114),#000498,NVIDIA,2011,2011,,
N,AMD Radeon HD 6870 (RV940),#000499,AMD,2011,2011,,
N,NVIDIA GeForce GTX 560 (GF114),#000500,NVIDIA,2011,2011,,
N,AMD Radeon HD 6850 (RV970),#000501,AMD,2011,2011,,
N,NVIDIA GTX 460 v2 (GF114),#000502,NVIDIA,2011,2011,,
N,AMD Radeon HD 6790 (RV940),#000503,AMD,2011,2011,,
N,NVIDIA GeForce GTX 550 Ti (GF116),#000504,NVIDIA,2011,2011,,
N,NVIDIA GeForce GT 520 / GT 610 (GF119),#000505,NVIDIA,2011,2011,,
N,NVIDIA GeForce GTX 690 (GK104 x2),#000506,NVIDIA,2012,2012,,
N,AMD Radeon HD 7970 GE (R1000),#000507,AMD,2012,2012,,
N,AMD Radeon HD 7970 (R1000),#000508,AMD,2012,2012,,
N,NVIDIA GeForce GTX 680 4GB (GK104),#000509,NVIDIA,2012,2012,,
N,NVIDIA GeForce GTX 680 (GK104),#000510,NVIDIA,2012,2012,,
N,NVIDIA GeForce GTX 670 / 760 Ti (GK104),#000511,NVIDIA,2012,2012,,
N,AMD Radeon HD 7950 Boost (R1000),#000512,AMD,2012,2012,,
N,AMD Radeon HD 7950 (R1000),#000513,AMD,2012,2012,,
N,AMD Radeon HD 7870 XT (R1000),#000514,AMD,2012,2012,,
N,NVIDIA GeForce GTX 660 Ti (GK104),#000515,NVIDIA,2012,2012,,
N,AMD Radeon HD 7870 (RV1040),#000516,AMD,2012,2012,,
N,NVIDIA GeForce GTX 660 (GK106),#000517,NVIDIA,2012,2012,,
N,AMD Radeon HD 7850 (RV1040),#000518,AMD,2012,2012,,
N,NVIDIA GeForce GTX 650 Ti (GK106),#000519,NVIDIA,2012,2012,,
N,AMD Radeon HD 7770 GE / R7 250X (RV1030),#000520,AMD,2012,2012,,
N,AMD Radeon HD 7750 new spec (RV1030),#000521,AMD,2012,2012,,
N,NVIDIA GeForce GTX 650 (GK107),#000522,NVIDIA,2012,2012,,
N,AMD Radeon HD 7750 / R7 250E (RV1030),#000523,AMD,2012,2012,,
N,NVIDIA GeForce GT 640 (GK107),#000524,NVIDIA,2012,2012,,
N,AMD Radeon HD 7750 DDR3 (RV1030),#000525,AMD,2012,2012,,
N,NVIDIA GeForce GT 620 (GF108),#000526,NVIDIA,2012,2012,,
N,AMD Radeon HD 7990 (R1000 x2),#000527,AMD,2013,2013,,
N,AMD Radeon R9 290X (Hawaii),#000528,AMD,2013,2013,,
N,NVIDIA GeForce GTX 780 Ti (GK110B),#000529,NVIDIA,2013,2013,,
N,NVIDIA GeForce GTX Titan (GK110),#000530,NVIDIA,2013,2013,,
N,AMD Radeon R9 290 (Hawaii),#000531,AMD,2013,2013,,
N,NVIDIA GeForce GTX 780 (GK110),#000532,NVIDIA,2013,2013,,
N,AMD Radeon R9 280X (R1000),#000533,AMD,2013,2013,,
N,NVIDIA GeForce GTX 770 4GB (GK104),#000534,NVIDIA,2013,2013,,
N,NVIDIA GeForce GTX 770 (GK104),#000535,NVIDIA,2013,2013,,
N,AMD Radeon R9 280 (R1000),#000536,AMD,2013,2013,,
N,NVIDIA GeForce GTX 760 (GK104),#000537,NVIDIA,2013,2013,,
N,AMD Radeon R9 270X (Curacao),#000538,AMD,2013,2013,,
N,AMD Radeon R9 270 / 8860 (Curacao),#000539,AMD,2013,2013,,
N,NVIDIA GeForce GTX 650 Ti Boost (GK106),#000540,NVIDIA,2013,2013,,
N,AMD Radeon R7 260X (Bonair),#000541,AMD,2013,2013,,
N,AMD Radeon HD 7790 (Bonair),#000542,AMD,2013,2013,,
N,AMD Radeon R7 260 (Bonair),#000543,AMD,2013,2013,,
N,AMD Radeon R7 250 (Oland),#000544,AMD,2013,2013,,
N,NVIDIA GeForce GT 640 Rev 2 (GK208),#000545,NVIDIA,2013,2013,,
N,AMD Radeon HD 7730 (RV1030),#000546,AMD,2013,2013,,
N,AMD Radeon R7 250 (DDR3) (Oland),#000547,AMD,2013,2013,,
N,AMD Radeon HD 7730 DDR3 (RV1030),#000548,AMD,2013,2013,,
N,AMD Radeon R7 240 Boost (GDDR5) (Oland),#000549,AMD,2013,2013,,
N,AMD Radeon R7 240 Boost (DDR3) (Oland),#000550,AMD,2013,2013,,
N,NVIDIA GeForce GT 630 Rev 2 (GK208),#000551,NVIDIA,2013,2013,,
N,AMD Radeon R9 295X2 (Hawaii x2),#000552,AMD,2014,2014,,
N,NVIDIA GeForce GTX 980 (GM204),#000553,NVIDIA,2014,2014,,
N,NVIDIA GeForce GTX Titan Black (GK110B),#000554,NVIDIA,2014,2014,,
N,AMD Radeon R9 290X 8GB (Hawaii),#000555,AMD,2014,2014,,
N,NVIDIA GeForce GTX 970 (GM204),#000556,NVIDIA,2014,2014,,
N,AMD Radeon R9 285 (Tonga),#000557,AMD,2014,2014,,
N,AMD Radeon R7 265 (Curacao),#000558,AMD,2014,2014,,
N,NVIDIA GeForce GTX 750 Ti (GM107),#000559,NVIDIA,2014,2014,,
N,NVIDIA GeForce GTX 750 (GM107),#000560,NVIDIA,2014,2014,,
N,NVIDIA GeForce GT 740 GDDR5 (GK107),#000561,NVIDIA,2014,2014,,
N,NVIDIA GeForce GT 740 2GB (GK107),#000562,NVIDIA,2014,2014,,
N,NVIDIA GeForce GT 730 (128-bit) (GF117),#000563,NVIDIA,2014,2014,,
N,NVIDIA GeForce GT 720 GDDR5 (GK208),#000564,NVIDIA,2014,2014,,
N,NVIDIA GeForce GT 710 (GK208),#000565,NVIDIA,2014,2014,,
N,NVIDIA GeForce GT 720 DDR3 (GK208),#000566,NVIDIA,2014,2014,,
N,AMD Radeon R5 230 (RV910),#000567,AMD,2014,2014,,
N,NVIDIA GeForce GTX Titan X (GM200),#000568,NVIDIA,2015,2015,,
N,NVIDIA GeForce GTX 980 Ti (GM200),#000569,NVIDIA,2015,2015,,
N,AMD Radeon Fury X (Fiji),#000570,AMD,2015,2015,,
N,AMD Radeon Fury (Fiji),#000571,AMD,2015,2015,,
N,AMD Radeon R9 Nano (Fiji),#000572,AMD,2015,2015,,
N,AMD Radeon R9 390X (Grenada),#000573,AMD,2015,2015,,
N,AMD Radeon R9 390 (Grenada),#000574,AMD,2015,2015,,
N,AMD Radeon R9 380X (Tonga),#000575,AMD,2015,2015,,
N,AMD Radeon R9 380 4GB (Tonga),#000576,AMD,2015,2015,,
N,AMD Radeon R9 380 2GB (Tonga),#000577,AMD,2015,2015,,
N,NVIDIA GeForce GTX 960 4GB (GM206),#000578,NVIDIA,2015,2015,,
N,NVIDIA GeForce GTX 960 (GM206),#000579,NVIDIA,2015,2015,,
N,AMD Radeon R9 370X (Trinidad),#000580,AMD,2015,2015,,
N,NVIDIA GeForce GTX 950 (GM206),#000581,NVIDIA,2015,2015,,
N,AMD Radeon R7 370 (Curacao),#000582,AMD,2015,2015,,
N,AMD Radeon R7 360 (Bonair),#000583,AMD,2015,2015,,
N,NVIDIA Titan X (GP102),#000584,NVIDIA,2016,2016,,
N,NVIDIA GeForce GTX 1080 (GP104),#000585,NVIDIA,2016,2016,,
N,NVIDIA GeForce GTX 1070 (GP104),#000586,NVIDIA,2016,2016,,
N,NVIDIA GeForce GTX 1060 (GP106),#000587,NVIDIA,2016,2016,,
N,AMD Radeon RX 480 8GB (Polaris 10),#000588,AMD,2016,2016,,
N,AMD Radeon RX 480 4GB (Polaris 10),#000589,AMD,2016,2016,,
N,NVIDIA GeForce GTX 1060 3GB (GP106),#000590,NVIDIA,2016,2016,,
N,AMD Radeon RX 470 (Polaris 10),#000591,AMD,2016,2016,,
N,NVIDIA GeForce GTX 1050 Ti (GP107),#000592,NVIDIA,2016,2016,,
N,NVIDIA GeForce GTX 1050 (GP107),#000593,NVIDIA,2016,2016,,
N,AMD Radeon RX 460 4GB (Polaris 11),#000594,AMD,2016,2016,,
N,AMD Radeon RX 460 2GB (Polaris 11),#000595,AMD,2016,2016,,
N,NVIDIA Titan Xp (GP102),#000596,NVIDIA,2017,2017,,
N,NVIDIA GeForce 1080Ti (GP102),#000597,NVIDIA,2017,2017,,
N,AMD Radeon RX Vega 64 Liquid (Vega 10),#000598,AMD,2017,2017,,
N,NVIDIA GeForce GTX 1080 (11 Gbps) (GP104),#000599,NVIDIA,2017,2017,,
N,AMD Radeon RX Vega 64 (Vega 10),#000600,AMD,2017,2017,,
N,NVIDIA GeForce GTX 1070 Ti (GP104),#000601,NVIDIA,2017,2017,,
N,AMD Radeon RX Vega 56 (Vega 10),#000602,AMD,2017,2017,,
N,NVIDIA GeForce GTX 1060 (9 Gbps) (GP106),#000603,NVIDIA,2017,2017,,
N,AMD Radeon RX 580 (Polaris 20),#000604,AMD,2017,2017,,
N,NVIDIA GeForce GTX 1060 5GB (GP106),#000605,NVIDIA,2017,2017,,
N,AMD Radeon RX 570 (Polaris 20),#000606,AMD,2017,2017,,
N,AMD Radeon RX 560 (Polaris 21),#000607,AMD,2017,2017,,
N,AMD Radeon RX 560D (Polaris 21),#000608,AMD,2017,2017,,
N,AMD Radeon RX 550 (Polaris 12),#000609,AMD,2017,2017,,
N,NVIDIA GeForce GT 1030 (GP108),#000610,NVIDIA,2017,2017,,
N,NVIDIA GeForce RTX 2080 Ti (TU102),#000611,NVIDIA,2018,2018,,
N,NVIDIA GeForce RTX 2080 (TU104),#000612,NVIDIA,2018,2018,,
N,NVIDIA GeForce RTX 2070 (TU106),#000613,NVIDIA,2018,2018,,
N,AMD Radeon RX 590 (Polaris 30),#000614,AMD,2018,2018,,
N,NVIDIA GeForce GTX 1060 DDR5X (GP104),#000615,NVIDIA,2018,2018,,
N,AMD Radeon RX 580 2048SP (Polaris 20),#000616,AMD,2018,2018,,
N,NVIDIA GeForce GTX 1050 3GB (GP107),#000617,NVIDIA,2018,2018,,
N,NVIDIA GeForce GT 1030 D4 (GP108),#000618,NVIDIA,2018,2018,,
