"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]"
"N","Celeron “Mendocino”","#0771a6","Pentium II “Deschutes”","1998.8.24",2000,,"https://en.wikipedia.org/wiki/Celeron#Mendocino",,,,,,,
"N","Mobile Pentium II “Tonga”","#B1D4E6","Pentium II “Klamath”","1998.4",2000,,"https://en.wikipedia.org/wiki/Pentium_II#Tonga",,,,,,,
"N","Mobile Pentium II “Dixon”","#B1D4E6","Pentium II “Deschutes”","1999.1",2000,,"https://en.wikipedia.org/wiki/Pentium_II#Dixon",,,,,,,
"N","Pentium III “Katmai”","#0771a6","Pentium II “Deschutes”","1999.2",2001,,"https://en.wikipedia.org/wiki/Pentium_III",,,,,,,
"N","Pentium III “Coppermine”","#0771a6","Pentium III “Katmai”","1999.10.25",2003,,"https://en.wikipedia.org/wiki/Pentium_III",,,,,,,
"N","Pentium III “Tualatin”","#0771a6","Pentium III “Coppermine”","2001.7","2002.1",,"https://en.wikipedia.org/wiki/Pentium_III",,,,,,,
"N",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"N","AMD Am9080 ","#DCE8B5",,1975,1981,,,,,,,,,
"N","AMD Am29000","#a4c639",,1987,1995,,"https://en.wikipedia.org/wiki/AMD_Am29000",,,,,,,
"N","AMD Am29005","#DCE8B5","AMD Am29000",1988,1995,,"https://en.wikipedia.org/wiki/AMD_Am29000",,,,,,,
"N","AMD Am29030","#DCE8B5","AMD Am29000",1991,1995,,"https://en.wikipedia.org/wiki/AMD_Am29000",,,,,,,
"N","AMD Am29050","#a4c639","AMD Am29000",1990,1995,,,,,,,,,
"N","AMD 8086","#a4c639",,1982,1991,,"https://en.wikipedia.org/wiki/Intel_8086",,,,,,,
"N","AMD 8088","#DCE8B5",,1982,1991,,"https://en.wikipedia.org/wiki/Intel_8088",,,,,,,
"N","AMD 80186","#DCE8B5",,1982,1991,,"https://en.wikipedia.org/wiki/Intel_8088",,,,,,,
"N","Am286","#a4c639","AMD 8086",1984,1998,,"https://en.wikipedia.org/wiki/Intel_80286",,,,,,,
"N","Am386","#a4c639","Am286",1991,1999,,"https://en.wikipedia.org/wiki/Am386",,,,,,,
"N","Am486","#a4c639","Am386","1993.4",1999,,"https://en.wikipedia.org/wiki/Am486",,,,,,,
"N","Am5x86","#a4c639","Am486","1995.11",1999,,"https://en.wikipedia.org/wiki/Am5x86",,,,,,,
"N","AMD K5","#a4c639","AMD Am29050","1996.3","1997.4",,"https://en.wikipedia.org/wiki/AMD_K5",,,,,,,
"N","AMD K6","#a4c639","AMD K5","1997.4","1998.5",,"https://en.wikipedia.org/wiki/AMD_K6",,,,,,,
"N","AMD K6 “Little Foot”","#a4c639","AMD K6","1998.1","1998.5",,"https://en.wikipedia.org/wiki/AMD_K6",,,,,,,
"N","AMD K6-2","#a4c639","AMD K6 “Little Foot”","1998.5","2000.10",,"https://en.wikipedia.org/wiki/AMD_K6-2",,,,,,,
"N","AMD K6-2 (CXT)","#a4c639","AMD K6-2","1998.11","2000.10",,"https://en.wikipedia.org/wiki/AMD_K6-2",,,,,,,
"N","AMD K6-III","#a4c639","AMD K6-2 (CXT)","1999.2","2000.4",,"https://en.wikipedia.org/wiki/AMD_K6-III",,,,,,,
"N","AMD K6-2+","#a4c639","AMD K6-III","2000.4",2001,,"https://en.wikipedia.org/wiki/AMD_K6-III",,,,,,,
"N","AMD K6-III+","#a4c639","AMD K6-III","2000.4",2001,,"https://en.wikipedia.org/wiki/AMD_K6-III",,,,,,,
"N","Athlon “Argon”","#a4c639","AMD K6-III","1999.7",2001,,"https://en.wikipedia.org/wiki/Athlon",,,,,,,
"N","Athlon “Pluto” / “Orion” ","#a4c639","Athlon “Argon”","1999.12",2001,,"https://en.wikipedia.org/wiki/Athlon",,,,,,,
"N","Athlon “Thunderbird” ","#a4c639","Athlon “Pluto” / “Orion” ","2000.5","2001.7",,"https://en.wikipedia.org/wiki/Athlon",,,,,,,
"N","Duron “Spitfire”","#a4c639","Athlon “Thunderbird” ","2000.7","2001.7",,"https://en.wikipedia.org/wiki/Duron",,,,,,,
"N","Duron “Spitfire”","#a4c639","Athlon “Thunderbird” ","2000.7","2001.7",,"https://en.wikipedia.org/wiki/Duron",,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"N","NexGen Nx586","#a0a0f0",,"1994.3",1996,,,,,,,,,
,,,,,,,,,,,,,,
"N","Motorola 68000","#cc0000",,1979,1996,,"https://en.wikipedia.org/wiki/Motorola_68000",,,,,,,
"N","Motorola 68EC000","#F09999","Motorola 68000",1991,2010,,"https://en.wikipedia.org/wiki/Motorola_68000",,,,,,,
"N","Motorola 68008","#F09999","Motorola 68000",1982,1996,,"https://en.wikipedia.org/wiki/Motorola_68008",,,,,,,
"N","Motorola 68010","#cc0000","Motorola 68000",1982,1996,,"https://en.wikipedia.org/wiki/Motorola_68010",,,,,,,
"N","Motorola 68020","#cc0000","Motorola 68010",1984,1998,,"https://en.wikipedia.org/wiki/Motorola_68020",,,,,,,
"N","Motorola 68030","#cc0000","Motorola 68020",1987,1998,,"https://en.wikipedia.org/wiki/Motorola_68030",,,,,,,
"N","Motorola 68040","#cc0000","Motorola 68030",1990,2000,,"https://en.wikipedia.org/wiki/Motorola_68040",,,,,,,
"N","Motorola 68060","#cc0000","Motorola 68040",1994,2010,,"https://en.wikipedia.org/wiki/Motorola_68060",,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Connectors",,,,,,,,,,,,,
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,,,,,,,,
"#","From When","From","To When","To","Thickness","Color",,,,,,,,
"C","1974.4.1","Intel 8080",1975,"AMD Am9080 ",2,"#a4c639",,,,,,,,
